"Server","User","Password","Database","Role"
"sql3","User427","Password427","5-Stay Stay Stay (Taylor’s version)","db_datareader"
"sql3","User428","Password428","1-Cornelia Street","db_datawriter"
"sql3","User429","Password429","Holier Than Thou - Live In Cordoba, Argentina - January 24th, 2010","db_owner"
"sql3","User430","Password430","5-Maroon","db_datawriter"
"sql3","User431","Password431","2-Style","db_datareader"
"sql3","User432","Password432","4-White Horse","db_datareader"
"sql3","User433","Password433","Fade to Black - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_owner"
"sql3","User434","Password434","Seek & Destroy - Live at Day on the Green, Oakland, CA / October 12th, 1991","db_datareader"
"sql3","User435","Password435","2-Tied Together with a Smile","db_owner"
"sql3","User436","Password436","2-You Are in Love","db_datawriter"
"sql3","User437","Password437","1-We Were Happy","db_datareader"
"sql3","User438","Password438","4-I\'m Only Me When I\'m With You","db_datawriter"
"sql3","User439","Password439","2-I\'m Only Me When I\'m With You","db_owner"
"sql3","User440","Password440","The Unforgiven - 139 BPM Take - January 29th, 1991","db_datawriter"
"sql3","User441","Password441","0-Clara Bow","db_datawriter"
"sql3","User442","Password442","The Thing That Should Not Be - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_datawriter"
"sql3","User443","Password443","Sad But True - August 13th, 1990, Demo","db_datareader"
"sql3","User444","Password444","1-Hits Different","db_datareader"
"sql3","User445","Password445","1-Clara Bow","db_owner"
"sql3","User446","Password446","1-This Is Why We Can\'t Have Nice Things","db_datareader"
"sql3","User447","Password447","0-End Game","db_datareader"
"sql3","User448","Password448","2-Gorgeous","db_owner"
"sql3","User449","Password449","4-We Were Happy","db_datareader"
"sql3","User450","Password450","4-ME!","db_owner"
"sql3","User451","Password451","1-Mr. Perfectly Fine","db_owner"
"sql3","User452","Password452","5-Innocent","db_datareader"
"sql3","User453","Password453","2-Stay Stay Stay (Taylor’s version)","db_datareader"
"sql3","User454","Password454","1-cardigan","db_datawriter"
"sql3","User455","Password455","1-Cornelia Street","db_datareader"
"sql3","User456","Password456","4-Tell Me Why","db_owner"
"sql3","User457","Password457","5-Stay Stay Stay (Taylor’s version)","db_owner"
"sql3","User458","Password458","3-imgonnagetyouback","db_owner"
"sql3","User459","Password459","2-I Hate It Here","db_owner"
"sql3","User460","Password460","My Friend of Misery - June 2nd, 1991 Rough Mix","db_owner"
"sql3","User461","Password461","2-Sparks Fly","db_datawriter"
"sql3","User462","Password462","1-The Last Time (Taylor’s version)","db_datareader"
"sql3","User463","Password463","5-I Wish You Would","db_owner"
"sql3","User464","Password464","4-End Game","db_datawriter"
"sql3","User465","Password465","5-Don\'t You","db_datawriter"
"sql3","User466","Password466","5-dorothea","db_datareader"
"sql3","User467","Password467","3-seven","db_datareader"
"sql3","User468","Password468","4-Lavender Haze","db_datareader"
"sql3","User469","Password469","1-Run (Taylor’s version)","db_datawriter"
"sql3","User470","Password470","Sad But True - August 13th, 1990, Demo","db_owner"
"sql3","User471","Password471","2-Robin","db_datawriter"
"sql3","User472","Password472","4-Peter","db_owner"
"sql3","User473","Password473","0-Death By A Thousand Cuts","db_datareader"
"sql3","User474","Password474","0-I Know Places","db_datareader"
"sql3","User475","Password475","1-Speak Now","db_datareader"
"sql3","User476","Password476","4-Dress","db_owner"
"sql3","User477","Password477","1-Out Of The Woods","db_datawriter"
"sql3","User478","Password478","1-champagne problems","db_owner"
"sql3","User479","Password479","1-Mastermind","db_datareader"
"sql3","User480","Password480","3-All Too Well (Taylor’s version)","db_datawriter"
"sql3","User481","Password481","Wherever I May Roam - Remastered 2021","db_datareader"
"sql3","User482","Password482","3-Delicate","db_datawriter"
"sql3","User483","Password483","4-I Forgot That You Existed","db_datawriter"
"sql3","User484","Password484","0-New Year\'s Day","db_datawriter"
"sql3","User485","Password485","4-invisible string","db_owner"
"sql3","User486","Password486","Enter Sandman - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991","db_datareader"
"sql3","User487","Password487","Holier Than Thou - July 6th, 1990, Writing in Progress","db_datareader"
"sql3","User488","Password488","1-mad woman","db_owner"
"sql3","User489","Password489","1-Blank Space","db_owner"
"sql3","User490","Password490","4-Ronan (Taylor’s version)","db_datareader"
"sql3","User491","Password491","4-Red (Taylor’s version)","db_datareader"
"sql3","User492","Password492","Bleeding Me - Live In Rio de Janeiro, Brazil - May 9th, 1999","db_datawriter"
"sql3","User493","Password493","5-Innocent","db_datareader"
"sql3","User494","Password494","2-Tim McGraw","db_datareader"
"sql3","User495","Password495","Harvester of Sorrow - Live at Day on the Green, Oakland, CA / October 12th, 1991","db_datareader"
"sql3","User496","Password496","Enter Sandman - May 13th, 1991 Rough Mix","db_datareader"
"sql3","User497","Password497","Of Wolf and Man - August 31st, 1990, Demo","db_datareader"
"sql3","User498","Password498","4-imgonnagetyouback","db_datareader"
"sql3","User499","Password499","5-False God","db_datawriter"
"sql3","User500","Password500","3-State of Grace (Taylor’s version)","db_datawriter"
